Date,divy
2019-02-05,4.98
2019-02-06,4.99
2019-02-07,5.07
2019-02-08,5.1
2019-02-11,5.06
2019-02-12,5.02
2019-02-13,5.03
2019-02-14,5.05
2019-02-15,4.95
2019-02-18,4.92
2019-02-19,4.9399999999999995
2019-02-20,4.92
2019-02-21,4.9
2019-02-22,4.9
2019-02-25,4.9
2019-02-26,4.9
2019-02-27,4.89
2019-02-28,4.86
2019-03-01,4.91
2019-03-04,4.91
2019-03-05,4.91
2019-03-06,4.88
2019-03-07,4.91
2019-03-08,4.97
2019-03-11,4.95
2019-03-12,4.93
2019-03-13,4.91
2019-03-14,4.92
2019-03-15,4.84
2019-03-18,4.8
2019-03-19,4.77
2019-03-20,4.8
2019-03-21,4.83
2019-03-22,4.93
2019-03-25,4.93
2019-03-26,4.93
2019-03-27,4.91
2019-03-28,4.95
2019-03-29,4.91
2019-04-01,4.84
2019-04-02,4.83
2019-04-03,4.78
2019-04-04,4.74
2019-04-05,4.74
2019-04-08,4.78
2019-04-09,4.8
2019-04-10,4.8100000000000005
2019-04-11,4.79
2019-04-12,4.76
2019-04-15,4.76
2019-04-16,4.76
2019-04-17,4.73
2019-04-18,4.73
2019-04-19,4.73
2019-04-22,4.72
2019-04-23,4.76
2019-04-24,4.79
2019-04-25,4.76
2019-04-26,4.76
2019-04-29,4.75
2019-04-30,4.73
2019-05-01,4.72
2019-05-02,4.8
2019-05-03,4.8100000000000005
2019-05-06,4.84
2019-05-07,4.88
2019-05-08,4.89
2019-05-09,4.95
2019-05-10,4.95
2019-05-13,4.97
2019-05-14,4.93
2019-05-15,4.9
2019-05-16,4.83
2019-05-17,4.87
2019-05-20,4.91
2019-05-21,4.87
2019-05-22,4.89
2019-05-23,4.96
2019-05-24,4.9
2019-05-27,4.88
2019-05-28,4.88
2019-05-29,4.88
2019-05-30,4.84
2019-05-31,4.91
2019-06-03,4.9
2019-06-04,4.84
2019-06-05,4.8100000000000005
2019-06-06,4.83
2019-06-07,4.79
2019-06-10,4.76
2019-06-11,4.78
2019-06-12,4.79
2019-06-13,4.8
2019-06-14,4.83
2019-06-17,4.85
2019-06-18,4.8100000000000005
2019-06-19,4.8
2019-06-20,4.8100000000000005
2019-06-21,4.82
2019-06-24,4.8100000000000005
2019-06-25,4.82
2019-06-26,4.84
2019-06-27,4.86
2019-06-28,4.83
2019-07-01,4.82
2019-07-02,4.82
2019-07-03,4.74
2019-07-04,4.73
2019-07-05,4.8
2019-07-08,4.82
2019-07-09,4.82
2019-07-10,4.8100000000000005
2019-07-11,4.8
2019-07-12,4.8100000000000005
2019-07-15,4.79
2019-07-16,4.77
2019-07-17,4.82
2019-07-18,4.86
2019-07-19,4.86
2019-07-22,4.86
2019-07-23,4.82
2019-07-24,4.8
2019-07-25,4.8
2019-07-26,4.84
2019-07-29,4.85
2019-07-30,4.97
2019-07-31,4.98
2019-08-01,4.95
2019-08-02,5.03
2019-08-05,5.07
2019-08-06,5.1
2019-08-07,5.08
2019-08-08,5.02
2019-08-09,5.09
2019-08-12,5.13
2019-08-13,5.13
2019-08-14,5.22
2019-08-15,5.23
2019-08-16,5.13
2019-08-19,5.09
2019-08-20,5.17
2019-08-21,5.12
2019-08-22,5.12
2019-08-23,5.15
2019-08-26,5.13
2019-08-27,5.1
2019-08-28,5.13
2019-08-29,5.1
2019-08-30,5.11
2019-09-02,5.11
2019-09-03,5.11
2019-09-04,5.06
2019-09-05,4.98
2019-09-06,4.98
2019-09-09,4.97
2019-09-10,4.93
2019-09-11,4.9399999999999995
2019-09-12,4.92
2019-09-13,4.86
2019-09-16,4.93
2019-09-17,4.95
2019-09-18,4.93
2019-09-19,4.86
2019-09-20,4.86
2019-09-23,4.9
2019-09-24,4.9
2019-09-25,4.93
2019-09-26,4.87
2019-09-27,4.85
2019-09-30,4.82
2019-10-01,4.88
2019-10-02,5.01
2019-10-03,5.01
2019-10-04,4.98
2019-10-07,4.93
2019-10-08,5
2019-10-09,4.96
2019-10-10,4.91
2019-10-11,4.82
2019-10-14,4.8100000000000005
2019-10-15,4.73
2019-10-16,4.73
2019-10-17,4.75
2019-10-18,4.74
2019-10-21,4.71
2019-10-22,4.72
2019-10-23,4.7
2019-10-24,4.7
2019-10-25,4.68
2019-10-28,4.6899999999999995
2019-10-29,4.6899999999999995
2019-10-30,4.75
2019-10-31,4.73
2019-11-01,4.7
2019-11-04,4.65
2019-11-05,4.66
2019-11-06,4.66
2019-11-07,4.64
2019-11-08,4.67
2019-11-11,4.67
2019-11-12,4.72
2019-11-13,4.79
2019-11-14,4.8100000000000005
2019-11-15,4.76
2019-11-18,4.77
2019-11-19,4.76
2019-11-20,4.77
2019-11-21,4.76
2019-11-22,4.75
2019-11-25,4.71
2019-11-26,4.71
2019-11-27,4.6899999999999995
2019-11-28,4.6899999999999995
2019-11-29,4.71
2019-12-02,4.82
2019-12-03,4.85
2019-12-04,4.76
2019-12-05,4.79
2019-12-06,4.73
